g_country_id|g_entity_id|gf_entity_id|gf_cutoff_date|g_energy_id|gf_actvy_pol_em_fctr_number|gf_audit_project_id|gf_audit_project_name|gf_audit_date
MX|MX0074|0074|2021-03-01|E10|2.322|18|RETAIL SUSTAINABILITY|2022-05-01 00:00:00
MX|MX0074|0074|2021-03-01|B7|2.596|18|RETAIL SUSTAINABILITY|2022-05-01 00:00:00
MX|MX0074|0074|2021-03-01|GN|47.680|18|RETAIL SUSTAINABILITY|2022-05-01 00:00:00
MX|MX0074|0074|2021-03-01|LPG|1.58|18|RETAIL SUSTAINABILITY|2022-05-01 00:00:00
