g_country_id|g_entity_id|gf_entity_id|gf_cutoff_date|g_energy_id|gf_actvy_pol_em_fctr_number|gf_audit_project_id|gf_audit_project_name|gf_audit_date
MX|MX0074|0074|2021-03-01|E10|02.322|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-05-01 00:00:00
MX|MX0074|0074|2021-03-01|B7|02.596|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-05-01 00:00:00
MX|MX0074|0074|2021-03-01|GN|47.680|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-05-01 00:00:00
MX|MX0074|0074|2021-03-01|LPG|01.580|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-05-01 00:00:00
