g_country_id|g_entity_id|gf_entity_id|gf_cutoff_date|g_energy_id|gf_province_id|g_cons_range_id|g_applied_taxes_type|gf_household_ind_type|gf_low_lm_cons_range_number|gf_upp_lm_cons_range_number|g_currency_id|gf_cons_unit_energy_cst_amount|gf_audit_project_id|gf_audit_project_name|gf_audit_date
MX|MX0074|0074|2022-07-01|LUZ|0|21|3|1|000000232.000|000000250.000|MXN|00000000000000000002.080000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|22|3|1|000000250.000|000000270.000|MXN|00000000000000000002.160000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|23|3|1|000000270.000|000000295.000|MXN|00000000000000000002.260000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|24|3|1|000000295.000|000000320.000|MXN|00000000000000000002.330000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|25|3|1|000000320.000|000000347.000|MXN|00000000000000000002.400000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|26|3|1|000000347.000|000000374.000|MXN|00000000000000000002.470000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|27|3|1|000000374.000|000000404.000|MXN|00000000000000000002.520000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|28|3|1|000000404.000|000000434.000|MXN|00000000000000000002.570000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|29|3|1|000000434.000|000000464.000|MXN|00000000000000000002.620000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|30|3|1|000000464.000|000000494.000|MXN|00000000000000000002.660000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|31|3|1|000000494.000|000000524.000|MXN|00000000000000000002.690000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|32|3|1|000000524.000|000000554.000|MXN|00000000000000000002.720000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|33|3|1|000000554.000|000000584.000|MXN|00000000000000000002.750000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|34|3|1|000000584.000|000000614.000|MXN|00000000000000000002.770000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|35|3|1|000000614.000|000000644.000|MXN|00000000000000000002.790000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|36|3|1|000000644.000|000000674.000|MXN|00000000000000000002.810000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|37|3|1|000000674.000|000000704.000|MXN|00000000000000000002.830000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|38|3|1|000000704.000|000000734.000|MXN|00000000000000000002.850000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|39|3|1|000000734.000|000000764.000|MXN|00000000000000000002.860000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|40|3|1|000000764.000|000000794.000|MXN|00000000000000000002.880000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|41|3|1|000000794.000|000000824.000|MXN|00000000000000000002.890000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|42|3|1|000000824.000|000000854.000|MXN|00000000000000000002.910000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|43|3|1|000000854.000|000000884.000|MXN|00000000000000000002.920000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|44|3|1|000000884.000|000000914.000|MXN|00000000000000000002.930000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|45|3|1|000000914.000|000000944.000|MXN|00000000000000000002.940000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|46|3|1|000000944.000|000000974.000|MXN|00000000000000000002.950000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|47|3|1|000000974.000|000001004.000|MXN|00000000000000000002.960000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|48|3|1|000001004.000|000001034.000|MXN|00000000000000000002.960000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
